order_id,time_stamp,supply_id,status
1001,1562779670.0,9101,COMPLETED
1002,1577312177.0,9039,CANCELLED
1003,1572155464.0,9476,CANCELLED
1004,1558628212.0,9355,COMPLETED
1005,1559784168.0,9264,COMPLETED
1006,1552544177.0,9009,COMPLETED
1007,1547822877.0,9626,COMPLETED
1008,1551173940.0,9474,COMPLETED
1009,1550690377.0,9734,CANCELLED
1010,1570721571.0,9461,COMPLETED
1011,1575098347.0,9524,COMPLETED
1012,1554014956.0,9098,COMPLETED
1013,1552291481.0,9743,COMPLETED
1014,1575348156.0,9009,COMPLETED
1015,1552747128.0,9263,CANCELLED
1016,1556074118.0,9263,CANCELLED
1017,1556769460.0,9150,CANCELLED
1018,1559224591.0,9365,COMPLETED
1019,1574471228.0,9121,COMPLETED
1020,1564827766.0,9461,COMPLETED
1021,1571218732.0,9778,COMPLETED
1022,1567152285.0,9022,CANCELLED
1023,1574503460.0,9121,CANCELLED
1024,1556321397.0,9138,CANCELLED
1025,1555956577.0,9365,COMPLETED
1026,1574850443.0,9474,CANCELLED
1027,1550355854.0,9757,COMPLETED
1028,1546687133.0,9101,CANCELLED
1029,1561042449.0,9389,COMPLETED
1030,1574561285.0,9039,CANCELLED
1031,1549445373.0,9574,COMPLETED
1032,1548292260.0,9574,COMPLETED
1033,1553655218.0,9574,COMPLETED
1034,1546677207.0,9009,COMPLETED
1035,1555814484.0,9098,CANCELLED
1036,1573590217.0,9757,CANCELLED
1037,1569647850.0,9025,COMPLETED
1038,1566675332.0,9025,CANCELLED
1039,1576015628.0,9146,COMPLETED
1040,1572319925.0,9121,COMPLETED
1041,1577003612.0,9101,COMPLETED
1042,1575460982.0,9626,COMPLETED
1043,1565256944.0,9626,COMPLETED
1044,1560280905.0,9389,CANCELLED
1045,1574458434.0,9476,CANCELLED
1046,1571471006.0,9354,CANCELLED
1047,1563253181.0,9682,COMPLETED
1048,1564289451.0,9022,COMPLETED
1049,1550192489.0,9474,COMPLETED
1050,1571445929.0,9602,COMPLETED
1051,1575583999.0,9354,CANCELLED
1052,1564254037.0,9484,COMPLETED
1053,1558325779.0,9365,COMPLETED
1054,1552383617.0,9524,COMPLETED
1055,1560541786.0,9039,COMPLETED
1056,1570331297.0,9146,CANCELLED
1057,1572745597.0,9602,CANCELLED
1058,1577275954.0,9150,COMPLETED
1059,1574524427.0,9208,CANCELLED
1060,1549293696.0,9025,COMPLETED
1061,1558442464.0,9125,COMPLETED
1062,1560135996.0,9605,COMPLETED
1063,1551230097.0,9121,COMPLETED
1064,1571320454.0,9355,COMPLETED
1065,1557882409.0,9150,CANCELLED
1066,1546335864.0,9484,COMPLETED
1067,1560521016.0,9477,COMPLETED
1068,1556371279.0,9151,COMPLETED
1069,1576771429.0,9682,CANCELLED
1070,1557553334.0,9263,CANCELLED
1071,1546669514.0,9355,COMPLETED
1072,1548180731.0,9734,COMPLETED
1073,1553208366.0,9264,COMPLETED
1074,1552364105.0,9125,CANCELLED
1075,1546554339.0,9227,COMPLETED
1076,1555033052.0,9121,COMPLETED
1077,1567005652.0,9476,CANCELLED
1078,1571441820.0,9626,COMPLETED
1079,1571335973.0,9039,COMPLETED
1080,1560690245.0,9605,COMPLETED
1081,1561861127.0,9146,COMPLETED
1082,1554900248.0,9121,COMPLETED
1083,1566351317.0,9602,COMPLETED
1084,1558681559.0,9263,CANCELLED
1085,1546848624.0,9151,COMPLETED
1086,1550723826.0,9076,COMPLETED
1087,1564442735.0,9039,COMPLETED
1088,1574630254.0,9743,COMPLETED
1089,1563604956.0,9138,COMPLETED
1090,1563308135.0,9242,COMPLETED
1091,1562878968.0,9076,COMPLETED
1092,1576127891.0,9264,COMPLETED
1093,1563742824.0,9227,CANCELLED
1094,1549568660.0,9474,COMPLETED
1095,1555701327.0,9461,CANCELLED
1096,1555767310.0,9602,COMPLETED
1097,1548170487.0,9743,COMPLETED
1098,1552192622.0,9549,COMPLETED
1099,1549570615.0,9125,COMPLETED
1100,1561612386.0,9121,COMPLETED
1101,1554263761.0,9743,COMPLETED
1102,1548391328.0,9354,CANCELLED
1103,1566876926.0,9138,COMPLETED
1104,1570839568.0,9743,COMPLETED
1105,1569687755.0,9549,COMPLETED
1106,1547350292.0,9023,COMPLETED
1107,1556305073.0,9484,COMPLETED
1108,1552308122.0,9474,COMPLETED
1109,1573424367.0,9461,COMPLETED
1110,1557195951.0,9355,COMPLETED
1111,1562315067.0,9477,COMPLETED
1112,1559099112.0,9009,COMPLETED
1113,1551974490.0,9757,COMPLETED
1114,1554873476.0,9461,COMPLETED
1115,1555849752.0,9039,CANCELLED
1116,1562450719.0,9098,COMPLETED
1117,1554629436.0,9354,CANCELLED
1118,1548328183.0,9354,COMPLETED
1119,1561978743.0,9365,CANCELLED
1120,1548132047.0,9076,COMPLETED
1121,1573276987.0,9138,CANCELLED
1122,1566223447.0,9157,COMPLETED
1123,1571614165.0,9208,COMPLETED
1124,1557808171.0,9549,COMPLETED
1125,1552776615.0,9354,COMPLETED
1126,1555968049.0,9022,CANCELLED
1127,1557583593.0,9264,CANCELLED
1128,1575220693.0,9121,COMPLETED
1129,1577204826.0,9524,COMPLETED
1130,1548960579.0,9461,COMPLETED
1131,1548869289.0,9121,COMPLETED
1132,1548646638.0,9474,COMPLETED
1133,1563061099.0,9138,CANCELLED
1134,1569540105.0,9778,CANCELLED
1135,1567139418.0,9476,CANCELLED
1136,1555165089.0,9264,COMPLETED
1137,1570660442.0,9605,COMPLETED
1138,1576371491.0,9101,CANCELLED
1139,1562199062.0,9121,CANCELLED
1140,1548834995.0,9009,COMPLETED
1141,1548906540.0,9263,COMPLETED
1142,1575838266.0,9009,COMPLETED
1143,1553117783.0,9242,COMPLETED
1144,1547418478.0,9389,COMPLETED
1145,1571677583.0,9208,COMPLETED
1146,1559902656.0,9354,COMPLETED
1147,1551184385.0,9602,COMPLETED
1148,1577058635.0,9574,COMPLETED
1149,1571085302.0,9524,COMPLETED
1150,1568147318.0,9150,COMPLETED
1151,1551629276.0,9039,CANCELLED
1152,1550353131.0,9242,CANCELLED
1153,1560403577.0,9101,COMPLETED
1154,1548633774.0,9605,CANCELLED
1155,1559101827.0,9602,COMPLETED
1156,1554861462.0,9574,COMPLETED
1157,1575411958.0,9023,COMPLETED
1158,1562705248.0,9025,CANCELLED
1159,1559382107.0,9602,COMPLETED
1160,1552707024.0,9150,CANCELLED
1161,1560085513.0,9125,COMPLETED
1162,1564495084.0,9682,CANCELLED
1163,1562846021.0,9146,CANCELLED
1164,1554720900.0,9602,COMPLETED
1165,1557372016.0,9605,COMPLETED
1166,1577016473.0,9354,CANCELLED
1167,1557634349.0,9355,CANCELLED
1168,1572287790.0,9605,COMPLETED
1169,1556041686.0,9138,COMPLETED
1170,1556802820.0,9146,CANCELLED
1171,1554266257.0,9022,COMPLETED
1172,1547996639.0,9365,COMPLETED
1173,1555152352.0,9354,CANCELLED
